Id,task_1,task_2
data/test/melanoma/ISIC_0012258.jpg,-0.3778006434440613,-0.39865827560424805
data/test/melanoma/ISIC_0012356.jpg,-0.2079073190689087,-0.2004576474428177
data/test/melanoma/ISIC_0013457.jpg,-0.28720951080322266,-0.29062291979789734
data/test/melanoma/ISIC_0012395.jpg,-0.40337613224983215,-0.46844613552093506
data/test/melanoma/ISIC_0013277.jpg,-0.3019202947616577,-0.4316890239715576
data/test/melanoma/ISIC_0013411.jpg,-0.38763901591300964,-0.20785494148731232
data/test/melanoma/ISIC_0013072.jpg,-0.35346630215644836,-0.4195009171962738
data/test/melanoma/ISIC_0012758.jpg,-0.2517797350883484,-0.3289550542831421
data/test/melanoma/ISIC_0013414.jpg,-0.38262608647346497,-0.45309898257255554
data/test/melanoma/ISIC_0012989.jpg,-0.48174944519996643,-0.4585701823234558
data/test/melanoma/ISIC_0013321.jpg,-0.41575464606285095,-0.40058401226997375
data/test/melanoma/ISIC_0013374.jpg,-0.33517539501190186,-0.33685964345932007
data/test/melanoma/ISIC_0013459.jpg,-0.25598663091659546,-0.30960357189178467
data/test/melanoma/ISIC_0013455.jpg,-0.3562215566635132,-0.45310983061790466
data/test/melanoma/ISIC_0013073.jpg,-0.3964902460575104,-0.4244484007358551
data/test/melanoma/ISIC_0012425.jpg,-0.4721134901046753,-0.47889140248298645
data/test/melanoma/ISIC_0012369.jpg,-0.2972102165222168,-0.40198972821235657
data/test/melanoma/ISIC_0013473.jpg,-0.3370337188243866,-0.4487494230270386
data/test/melanoma/ISIC_0013472.jpg,-0.1951446831226349,-0.25464481115341187
data/test/melanoma/ISIC_0013242.jpg,-0.3001042604446411,-0.34844323992729187
data/test/melanoma/ISIC_0013565.jpg,-0.23790663480758667,-0.3196677565574646
data/test/melanoma/ISIC_0014148.jpg,-0.31717079877853394,-0.26896899938583374
data/test/melanoma/ISIC_0014548.jpg,-0.29935771226882935,-0.36000484228134155
data/test/melanoma/ISIC_0013833.jpg,-0.264473557472229,-0.3623679578304291
data/test/melanoma/ISIC_0014349.jpg,-0.3227044939994812,-0.29779940843582153
data/test/melanoma/ISIC_0013842.jpg,-0.4230712950229645,-0.3416541814804077
data/test/melanoma/ISIC_0013948.jpg,-0.4248008131980896,-0.38572052121162415
data/test/melanoma/ISIC_0014059.jpg,-0.3629389703273773,-0.3757345378398895
data/test/melanoma/ISIC_0014454.jpg,-0.25323209166526794,-0.25666147470474243
data/test/melanoma/ISIC_0014559.jpg,-0.2595934271812439,-0.42011547088623047
data/test/melanoma/ISIC_0014284.jpg,-0.2565581202507019,-0.3546029031276703
data/test/melanoma/ISIC_0014221.jpg,-0.4910488724708557,-0.5199770331382751
data/test/melanoma/ISIC_0013733.jpg,-0.3768753409385681,-0.39481794834136963
data/test/melanoma/ISIC_0014077.jpg,-0.5037813782691956,-0.5180895924568176
data/test/melanoma/ISIC_0013953.jpg,-0.3296235501766205,-0.2763664424419403
data/test/melanoma/ISIC_0014423.jpg,-0.25112661719322205,-0.2856347858905792
data/test/melanoma/ISIC_0013636.jpg,-0.49389564990997314,-0.34352007508277893
data/test/melanoma/ISIC_0014666.jpg,-0.2542886435985565,-0.2816202640533447
data/test/melanoma/ISIC_0013917.jpg,-0.37197452783584595,-0.34213119745254517
data/test/melanoma/ISIC_0014027.jpg,-0.46485185623168945,-0.3074764609336853
data/test/melanoma/ISIC_0014513.jpg,-0.22650334239006042,-0.2783844769001007
data/test/melanoma/ISIC_0014110.jpg,-0.306827574968338,-0.33136045932769775
data/test/melanoma/ISIC_0014541.jpg,-0.29474422335624695,-0.35963472723960876
data/test/melanoma/ISIC_0013696.jpg,-0.39135977625846863,-0.4395143687725067
data/test/melanoma/ISIC_0014288.jpg,-0.2636669874191284,-0.45985111594200134
data/test/melanoma/ISIC_0014181.jpg,-0.36000412702560425,-0.43313509225845337
data/test/melanoma/ISIC_0014546.jpg,-0.36580637097358704,-0.3312727212905884
data/test/melanoma/ISIC_0013925.jpg,-0.354789674282074,-0.34952956438064575
data/test/melanoma/ISIC_0014233.jpg,-0.3574594259262085,-0.36046451330184937
